Time (s),Temperature (°C),Radiation Level (µSv/h),Lunar Dust Activity (0-100),Magnetic Field Variation (nT)
0,-169.0076515675941,138.11833102169783,46.498844821811886,13.326130470183443
1,-170.433118050005,159.79755986308726,55.12873740069937,18.71614558581638
2,-171.72022077141594,147.65147275829597,32.642038840768414,22.018798843352073
3,-169.98514384800845,157.98977865678967,61.572992118002915,32.67178244027661
4,-169.88814316341245,161.68749809082243,39.14230815274904,12.020706276073552
5,-169.38710526845452,159.44341963262335,30.523352685617485,-17.703464735120193
6,-171.69774923905138,142.52818086046625,56.644763217236466,-25.700718801263914
7,-173.14397772839845,139.04293007770073,38.69015350742934,-27.254940763344653
8,-174.5187765122479,159.1189775096847,59.763473827457815,-34.08450620283814
9,-168.15450932369885,158.37951804856235,42.97336390982392,-10.50758337209019
10,-170.77996866692894,152.3603985938203,57.65135032161915,-26.66410948648178
11,-168.60394904477116,162.99868605313034,49.8203592937118,-2.221434135375822
12,-167.74100422673723,136.35710853632017,69.38327982113745,-34.69149200707976
13,-169.39393118295536,149.79064625671842,69.5343510664786,11.846129201762857
14,-170.65186524370944,142.8793049027527,33.80901692796665,-18.65650940860992
15,-168.4965611104892,146.86612191433494,54.771547124396996,-11.675394127172021
16,-169.5437088203127,149.79227634756825,39.25357823321772,15.384319464388764
17,-169.0053876057048,146.69922151583975,68.96055043900014,19.297137922882953
18,-172.93970546978585,148.99803105755188,44.349206455023875,28.713061846931204
19,-168.55035464764003,162.28207796990682,66.68043377291539,12.28888622412124
20,-167.19565560605525,154.02546859632992,45.25358154970548,5.875110914699361
21,-168.646841692594,146.47550560737326,42.67393632134677,-21.272848035310012
22,-170.60819228462262,149.6479706936903,62.300273484006674,-7.680689926369291
23,-169.9271412858511,156.70085790515208,44.356937012191295,2.999389170283316
24,-170.90363291640418,143.71396544955064,31.791597331548115,1.8367193595926317
25,-168.60946775653744,149.42163037419854,37.86625528202018,-19.679962538760982
26,-169.0297565172527,148.64572254578752,35.52716124752945,6.564451199966955
27,-171.339126591461,141.28938499292002,66.79589060985063,1.0060100474439935
28,-168.66977029943666,168.7175015589761,38.29645779942344,-23.230675737341336
29,-169.8860782561456,154.13028618566435,69.36937627787302,-10.583780189262677
30,-168.32921250548773,151.8103847415128,32.137128593515776,-5.948832556104978
31,-172.1047206862186,146.94781267686744,69.16239044541078,16.73842198481275
32,-169.45421063090464,144.3577974466232,42.54315640608755,0.35451468292421745
33,-170.9106682693526,143.12488944802655,55.327550454520434,27.333344219814776
34,-174.2843211501043,161.23410680623238,55.413377804404284,-6.638076543022173
35,-167.7100222122333,160.1056673342716,37.44095546533326,26.824985664120685
36,-170.22299319753586,144.03094994337033,66.21199649917311,-4.678727416174769
37,-169.2600461055449,149.7149685440283,53.154910524072264,26.425406122505347
38,-166.27316053611767,156.6863499690152,59.17979865872654,6.113477753162177
39,-170.78957822690597,154.31380713291472,54.52016690863276,14.840739549959913
40,-172.5649207798411,138.6908341076975,68.97892007385079,-1.632121286048356
41,-167.11979981679437,142.06890494599324,51.70289583911014,5.23353888157434
42,-172.81050387313513,156.19385551472908,41.545176288437574,-12.799642883820523
43,-170.36187332779164,158.87281641053477,63.97343851594342,-14.993567918087018
44,-167.1699771356903,140.85339679444846,64.96738387929861,13.19988412662279
45,-168.97085930512085,139.82194752201482,69.86205963064958,21.48548856572905
46,-169.70929818987588,145.39010345567235,51.09204281398463,0.5480898179917397
47,-172.2638303390517,147.5835760625882,52.5899595579972,10.952768045108352
48,-168.48371533362672,163.95161962932545,54.59627627856655,13.71693514678762
49,-170.8901933788055,148.77175304398753,54.07643214012026,-8.357548850915336
50,-172.6243118638647,142.00324794670763,43.89751944618089,-8.025637647400593
51,-168.02927471978217,138.82459717278465,66.32237058288518,2.9742690664064693
52,-170.93390078437096,158.44615414517804,61.537072342019854,-25.37800036390439
53,-170.89676818319327,141.98172939368084,58.7977051759013,-13.749734490329317
54,-170.02001291014668,155.05857033357753,61.38155833486195,8.345379298469911
55,-170.75598022078069,146.42976533492728,49.239783948846025,-16.97241071693857
56,-169.65874680218877,136.8339421823971,44.71460982341756,8.455568739287001
57,-171.31801833704213,157.94899606312214,38.635729871664886,-40.934432295595286
58,-169.8790115118429,154.42429951204412,50.69088797323859,-26.999699672831635
59,-168.66941478783443,154.64158520274316,64.51882434575583,-1.6664743667287885
60,-168.52470581492938,164.2257170188192,42.54265183741098,-8.87797924209265
61,-168.94318091843087,138.42271756669814,64.19258418050177,-3.845752529940368
62,-168.2941436639917,146.79381908415897,46.029223398192926,-22.332341233191677
63,-169.67865771741802,152.02327784975873,61.29301590650035,3.1775856325942895
64,-170.85725881010544,150.36969496943516,57.26957729146356,2.6111520147639227
65,-169.89890469443358,157.66583785907005,46.594860992225726,-6.304971720393027
66,-170.20475579285542,159.35966610378483,56.15113014711287,5.14034519201184
67,-168.33626315926267,134.95002050553214,37.71443277116831,-9.347117476032967
68,-172.59337545308875,146.6576680475622,52.270853224452836,2.8529846856412995
69,-169.5722740994467,161.0971727055492,52.051689201704086,1.560746551024338
70,-168.74086892190434,144.45481168615373,53.495566600688555,9.456481077837056
71,-168.14762433909016,146.74899533895626,33.46218994411319,-10.28445531151658
72,-173.60128560208705,154.37611048994447,63.192801814913494,-14.998361986918372
73,-169.5893693988369,148.5661361551337,51.96135485025797,36.2486186226907
74,-168.52513729276868,155.9894605450839,45.37522436278254,0.7736054738257457
75,-169.50179257743156,145.34211556425169,36.926040678748976,-22.830285395994917
76,-172.60916396090826,161.23521255273062,48.64608496958516,-29.650635982941054
77,-171.87008866762986,156.23954094456704,49.75053901557405,-18.333409352590515
78,-167.88232408704974,171.774902265529,63.823675871915675,-27.80336687991897
79,-170.63555597187465,149.22536590811882,58.37259960128447,13.217672944625726
80,-172.10410654093093,144.87024665936093,39.9255638079028,-12.66873809929362
81,-172.0234205559198,151.24084467744953,47.14915720382329,-11.287418920655687
82,-174.9924353859726,150.4895122249437,51.09428471126067,13.262840578379052
83,-169.61436601200268,150.09321181225485,59.21413012350362,-6.248580138157365
84,-168.4924152744379,146.5046080918944,55.18092208174921,-1.8839659621478466
85,-164.87591427204728,137.6278840661473,46.58788906843176,30.291088584671236
86,-168.95322819589097,147.49397717254482,67.30390827049163,15.891747372750558
87,-169.13891486708798,140.72761856658045,67.01719951457574,-18.27597165564449
88,-168.54207744180127,143.75300708635,31.296149145815882,-25.80865417675135
89,-170.45705155130776,142.6490169557523,51.004500914541836,7.408085355642948
90,-171.03217822727737,150.15695914373967,61.44751437966063,2.6756631274003784
91,-169.0949090063161,136.89691051594542,65.01644525326304,14.00297301155365
92,-169.85198356780774,151.35171799268676,35.1714423030695,-40.661339693721494
93,-171.06517825743705,149.60314277428674,57.81484410430572,-39.783713506419346
94,-174.18525719396388,152.51010532742592,45.214551192365484,7.914101358250015
95,-169.50191195829575,138.82006016165477,57.008581815236354,4.767373568968052
96,-168.82101816522487,155.0189432634405,40.246393624265394,5.933900561306155
97,-166.25953917367875,158.48895047839179,45.68926872759013,5.272881868068497
98,-173.5178465302197,150.86753795221486,48.78566520873514,-3.223859368130494
99,-171.11400186805002,137.1553759383636,33.72261841805076,27.432833456082257
100,-166.22048964117803,152.85145764382682,55.6466538573177,25.40829544879117
101,-167.30469505394584,137.6908529539038,41.92881332551078,-9.657938164165538
102,-172.18040239601865,146.98743207557857,53.55288001336882,13.810826088315629
103,-170.9576905407141,147.4236784992412,65.31481387159006,-4.7089744473343575
104,-169.3500735320734,165.88151242576942,51.749646001958695,2.880572162120576
105,-170.72166016697946,146.87265722355437,55.14688121063758,28.234389432509023
106,-167.8688638024243,147.89873954281106,42.96552680692247,-3.450978581197951
107,-168.22017946665824,140.1710031291455,66.1477894110585,-28.015335761733205
108,-167.67505103385486,145.8800508184886,53.93104078621682,-26.813919751668088
109,-167.971431627256,139.19622693126163,38.79956040140679,-28.79045987555321
110,-174.12425349325605,145.7811196909828,37.58560410805489,-48.73642961835894
111,-167.82256234056626,148.11620497719312,35.13857486105302,24.358076932903042
112,-168.20273181593015,156.20405621075906,64.12285474059873,-2.8796970993293214
113,-172.5289966166194,144.31244321664937,64.48919630674888,-25.475290735612674
114,-168.19984135850765,166.78350887332684,47.07799476017827,5.113397371468381
115,-169.91935136213954,142.4241562701453,53.17025704377336,2.5075703348627885
116,-175.91773437818617,157.84325931242586,67.21904635133058,-13.47462975854707
117,-169.75998593828766,146.74183057147715,63.01372175116113,19.0375972641314
118,-169.2581379301446,148.57703568979474,37.067005139840035,28.310495031699094
119,-170.2505354998083,164.59338416068996,31.076460164377853,7.145351654921121
120,-171.7753816247906,159.0888412009419,69.31859896842265,6.20799233078481
121,-169.32295556947446,149.38560119832263,66.09120546213262,32.97654904313924
122,-173.60569101458887,154.51409135173625,56.6422403407725,-10.470289582160174
123,-169.89215200178728,144.87224393585356,59.9222309847023,-2.565821052003576
124,-169.88332528457357,155.33261330579006,52.036419127685875,22.078517463153304
125,-172.08185160282648,161.5006364809999,57.53046600841766,-20.200942393442585
126,-172.17743458157838,148.34159339734438,46.632703478274934,16.584929011464737
127,-170.4102777506201,145.74299609033133,62.76366163928237,-25.034204257416725
128,-170.0107845044452,130.77753408095037,63.82978323049522,-4.395559108800175
129,-167.89583177756282,150.93549009257987,32.592218202814365,-18.0018794916483
130,-168.223570204946,156.73152105822433,63.523442324309535,8.13777086421352
131,-168.49815603602033,145.10494595787645,61.27359598639501,19.407503127043327
132,-169.89595701520756,170.5718738631498,61.793682290543344,-14.36182259840284
133,-170.75988566197483,141.78539707724929,48.57981339061418,23.59016677649068
134,-169.88343517357774,151.65141071694984,46.65305543387133,-8.435634907842925
135,-166.8359028470987,147.0408282938787,38.58322766195694,4.267261915283167
136,-165.95792502802686,166.15430041522058,31.33544291057447,8.054927497939588
137,-169.1788950532446,153.27996830204629,64.34398863889388,29.524957426586724
138,-167.66173825334457,156.37769600101592,64.35019672966797,-6.4569378721364785
139,-169.45326256535907,143.8814782283834,65.0551403574554,5.099968430981906
140,-168.0754384795094,154.1096816399453,45.58059584923548,2.342574424171499
141,-168.27561972351552,132.32794867968428,55.62315728710586,-18.51641542040322
142,-168.02392481672643,144.58544452717356,39.63397852236021,20.544139067929443
143,-171.9732508678065,158.77194454742758,66.45415426219154,2.0723294571593627
144,-170.87522950018152,163.8308235675029,67.00582943226776,-14.19587514356559
145,-169.19708623567843,144.56122496708463,68.3098100721024,12.687073760774407
146,-169.15533327062522,143.9919678369777,54.74988654209234,22.02572687894999
147,-173.50311474306145,162.97447135313456,51.997436956365156,-25.879823770448198
148,-171.53906887753513,154.15413494722063,59.864556286396734,-5.025022361148985
149,-168.23327271233205,156.8251172032572,46.62754501578273,-1.41947509443376
150,-171.1441116913467,166.7362786850038,63.78274093665747,34.670747751068035
151,-169.9701231612543,151.08183284716017,59.767304375135566,-7.958032532591059
152,-172.02221953906644,158.3698560931376,53.94999354036232,3.950835159375563
153,-170.27683478265826,159.69692691387266,63.336345773230185,-4.166423941584636
154,-170.08315000406805,149.67437930404506,66.13941239158187,-19.71976905515739
155,-173.75588499076648,142.84894759645442,68.82575160715157,13.015272320440136
156,-170.71891785718188,154.7341377080973,39.05910692839725,-20.536705807810563
157,-170.66526563298052,142.37453332730735,31.454676538786334,25.500795976671014
158,-168.4627868808294,137.88247879321588,66.73959377389201,8.867152819624607
159,-167.41439731665045,137.904412641998,34.77470679606958,-19.417253055942275
160,-169.18270758906834,143.55057782721693,49.74366401845599,49.99945594128991
161,-171.88491508595072,139.1714601430255,40.88036788515181,-14.720636319159116
162,-170.0689911412158,141.13640483796718,30.57636999012771,-10.595367694905661
163,-169.2930677622728,156.99219349629394,48.36680752738886,-6.845784268621178
164,-168.61104677650968,148.9623177259712,65.53105624728269,-31.25208500137248
165,-173.67051509721705,154.38008318054233,36.65940626266972,-11.294399137876283
166,-169.11767576794392,144.494712077466,65.35665264535687,27.162423076130725
167,-173.22406579867467,141.25200029910536,61.757415489119495,-7.436699724314451
168,-171.61835999127985,146.91069783363503,58.86429315896251,-22.827030676310606
169,-169.54277148617373,156.64669038268704,39.33023254409038,5.708053591808873
170,-170.97501233016254,144.0729465051878,67.17510197087114,56.91334833771539
171,-172.0090668203052,149.65037632844906,59.63232511065035,9.22589652131815
172,-170.02464995156868,143.24401317131932,67.00234009700897,26.724973184995598
173,-168.26301918272605,155.34126672411398,35.43708020766934,-1.5710464367843844
174,-170.5852724352978,131.31865931913458,55.34322222560955,-11.642874963319452
175,-171.36391264376564,156.25512407178985,54.10711186920414,-31.543246337683826
176,-168.95337364743423,150.82025019001057,56.71703508983029,-12.047217637168648
177,-167.97077552170788,147.80128859816512,50.71304718631448,1.3199367735394254
178,-168.13567390065748,163.0245277798007,44.30587364309247,-10.921695271465744
179,-171.0185680764242,140.6886648143808,69.4683519199482,1.7316696706664492
180,-172.4426219819364,151.17449344787985,31.35474002832617,-10.169501266537747
181,-172.24548147152657,155.50969782415422,50.02552999872316,14.214471193373598
182,-168.35952520264712,153.4837086589524,50.37587060638907,8.126254281860492
183,-175.18219272389342,152.11895388453826,64.94267044179907,-16.47921393827121
184,-169.42396886204358,143.72216748213808,45.71701265182922,-2.438645797597165
185,-167.73899809341557,133.79812166997291,63.113845029415714,1.1358685473521875
186,-168.8062670672531,151.42582644801803,37.57489326170214,-26.81276266653086
187,-170.50037260591182,145.14593212977067,57.661504836041644,6.459714177410704
188,-170.23626701073744,154.33682967791967,69.17504724672568,21.973511514194627
189,-170.44719475246131,149.55491138506497,62.91933322149853,11.303341387181696
190,-172.50291415248222,149.93123700260708,58.08813741531953,-32.925907639205825
191,-172.4772231358222,178.31480038188784,55.55313358807566,-25.59692652267874
192,-167.72718621601578,166.67938395239628,59.45794156738357,-2.1119940916080715
193,-168.66883034192125,152.80119811323465,56.28970824320351,17.699670999356833
194,-169.47450103766323,165.3749391859487,32.50551887126204,-1.9020522972265552
195,-170.4931718895413,147.66334564584974,36.41117078166141,-7.341448503790023
196,-169.2969774719063,147.27012057988375,66.3339567794714,-44.55585675183937
197,-167.53396208583382,150.33958007932787,47.19248207315877,13.194425265019671
198,-167.26293781065195,145.9014185339638,35.341767059796624,-33.96166348725852
199,-170.4807159601084,147.16911196951284,44.04089850945802,-11.401241249848189
200,-169.88080239479896,150.84364067024504,53.6032031286866,-3.607800765512901
201,-170.38621591354095,151.4110082068647,38.98149789550695,5.884689428345413
202,-170.25848697011256,152.813433427842,60.5542648612265,-10.276241223395866
203,-171.4000963725938,153.68141130502914,67.9367597021252,-4.939569250608616
204,-165.56570115562835,145.24455632225468,41.77989213981442,-7.082152215749593
205,-172.5838894988755,124.96862471480235,49.35935389586089,23.534330807806928
206,-167.31470500517077,142.47744788341896,68.39435280843256,16.863394080592816
207,-171.1601694954866,169.53476420942667,50.40715665537597,-14.585889909766301
208,-171.18159861161638,144.44027174667218,47.00706008149858,4.613083768405749
209,-170.28042886237645,148.9880676361732,45.574613548797146,21.430904831318003
210,-174.21236935177166,138.65542222319814,50.36158657985015,-13.752652641478619
211,-171.04253620368314,135.41718129894244,49.286868052661795,-0.7904019150622075
212,-171.02950934538418,153.0421274257721,51.726967203844076,-16.253953290297126
213,-170.02608190584323,144.10534146085251,35.09155161341016,7.239357087804671
214,-169.01856257117518,157.93634249692587,64.97587621586693,16.042404140113117
215,-170.09602996943906,150.76434116347022,37.17158770891869,7.68026596013634
216,-169.8224450869364,150.00342326976832,63.25488791314231,6.994740811854544
217,-168.71525314728228,153.94381268180047,34.001049720294276,-2.093309891909416
218,-168.87534285856023,152.20397667374573,33.36311740964548,3.631738490124685
219,-166.50565373511628,152.32590191790425,62.44329220042901,18.160979297460106
220,-166.12447717691154,153.31420368134425,44.10513343460374,40.01859935128522
221,-170.6164825448224,152.32917257345238,58.818496489778624,-32.80526683095172
222,-172.91802603078267,149.36568751154553,66.05040057972427,12.504538079498342
223,-167.9882905455567,143.791272278726,47.49405718728978,-15.511291874235127
224,-170.8104325081841,149.57118524039555,45.90967275411697,14.138610081474743
225,-169.54022862639766,154.54668120275156,47.2906512941022,42.18905388871733
226,-172.11524021781239,148.23088246498924,69.99262390875845,6.9075565024602446
227,-168.2365666923939,147.74298997430026,52.940137674677274,27.811210890951475
228,-172.91484119659367,149.59625093042487,30.16135915944136,-7.3193762026287255
229,-172.89835391394323,147.677439509092,48.84043422546675,13.263646086668777
230,-171.85174768504004,159.8091482542186,64.65915774391557,34.231123569040854
231,-166.0488429632328,153.08294435824368,67.98197793898808,23.678158603787086
232,-171.9731784187017,143.9696845819954,44.89572873472508,-20.64429718592163
233,-171.42089956262137,163.1327737173052,60.368913559222094,27.954860009247962
234,-172.1748192768114,144.22571546704026,66.3753651555975,3.3523842710036567
235,-172.11482917254114,151.9642365175015,53.139600567955526,-14.20454760084179
236,-172.16562925988092,140.4101796654548,45.03894586615257,0.29926436950810886
237,-169.52412310321293,154.4232746515697,35.85772889384312,21.508944355445063
238,-168.55797922117097,148.8822639024489,59.95871595572491,18.216467454116984
239,-173.5161305422876,142.71897230190726,30.923597960924244,32.752629869870944
240,-173.89885862356164,144.17857083199723,48.31479160602083,19.532558906173595
241,-168.7855976391032,134.72559750724352,67.63789765280168,-14.11325214007761
242,-170.02061147528542,143.04218259562512,54.506047416062906,19.642339939494548
243,-168.50401659419705,167.7728636068991,30.28851248575461,21.98253233408653
244,-167.94141843864077,152.0724301965832,41.323112144830944,12.666021796481974
245,-170.96981013942346,155.31068144105973,47.65499922298478,36.372493583973146
246,-171.16459242115712,139.75801525016368,69.84958704785615,-41.44323218015892
247,-169.9736006316717,153.40000760566713,47.06423848539977,-8.168046405340398
248,-168.6091632049434,154.90325202637803,65.65991784722118,8.703514863808573
249,-168.35918565056687,146.10812976772252,57.175586862763865,16.24035993206207
250,-170.69367866873353,135.88365881955505,44.48480639341913,7.002385910637995
251,-168.9025097930258,162.2797015752169,35.84684204947398,0.011171879473212964
252,-170.70522443302073,161.7342457605013,41.10069028412567,-24.858403553086823
253,-169.94720954637307,145.22858304967002,47.418980851067865,2.98551294061077
254,-171.22106240902366,158.83787407110043,63.21942070799083,-6.451028388631785
255,-171.20093501365614,154.13485038035225,65.28978215039078,10.322044348046436
256,-169.59697529789878,145.9303858746446,44.57724896111202,-5.839617130994074
257,-170.90542768264459,159.91523256714552,32.975863398916246,-16.817394659823922
258,-170.49324216355626,159.59824108550708,58.64023190522994,-30.434278230048903
259,-169.39130655361802,154.2366708823941,33.73350563264135,-30.266203999996865
260,-169.17229177588447,152.74762699839007,65.45901353228652,19.103187765147357
261,-171.30735661482646,152.50479877058382,36.94622109743852,10.089585203863315
262,-166.615499730362,145.7016363765861,60.926048970032106,-11.538695066078613
263,-171.1641229285118,154.92152640649567,60.117185208595664,-17.86870679514417
264,-170.56157334163314,140.28131373883144,32.583105982849446,-6.109471421091723
265,-168.53318729266215,149.55071305442627,47.61222115704936,-11.387530476428172
266,-171.04536820798413,152.37704960100842,61.251597120616516,-8.47996347603393
267,-167.48489453764964,147.3352867916196,52.388569549639755,-24.73495850937917
268,-170.8045192976476,156.82481925484933,32.76055840532726,-23.043409211471694
269,-172.25826847733697,166.16721634628942,58.82050279062335,10.177898961510037
270,-168.2350618172804,140.30568618885835,36.650361037076124,10.16042858774255
271,-172.5145044795346,146.19599084098041,65.80855985128991,-8.844711664631106
272,-168.46343102997534,145.49554532149608,41.12679274453723,4.251358229352733
273,-170.51330957942054,144.6894864411928,67.19522514242149,45.11264769539779
274,-169.13655644230457,151.3755465634294,61.51761985182635,-20.522755919971626
275,-171.011197175837,155.85969918228415,54.38795165019272,17.966979914610754
276,-173.06226389119064,141.57053059000407,58.342498933860156,-23.737051938853433
277,-173.4841501946651,161.5671879222881,51.06628111015179,27.344572296158805
278,-168.37913993104982,152.00611851015958,53.86419675618401,31.20749209362767
279,-171.80157716918393,158.30455282582687,30.567602209062862,-50.51182865381964
280,-167.58418918095188,159.0928304413538,33.53559245630787,6.033803420516929
281,-166.79384738834406,142.3909231958727,57.66069714270196,-1.518578920371645
282,-169.88595642063146,148.16299858570622,63.218824948645256,15.438604297241156
283,-169.19084127395124,136.89391440198054,30.22103588448996,17.917985242933224
284,-169.20621161418427,142.79598244434192,32.742378252145535,63.47151631230857
285,-169.90163000775544,152.8370813554707,62.73567000788457,27.44387540709784
286,-169.77751173069805,156.2799588360897,44.41936712493646,44.601355992185894
287,-166.91533579840063,142.83307291751572,46.96245809931849,4.620168665920847
288,-169.1531628980259,160.23535629018906,63.140281058172356,-6.707906172214991
289,-169.06589401914889,154.20654691392625,31.409454542991703,-15.519028180838717
290,-171.54625654513214,145.02727685222618,43.137439630371965,-21.448093531312846
291,-170.6960891124563,159.14391451589535,35.4057471362229,-3.351291294252941
292,-167.36838483040233,128.63868849621124,66.91015716514373,12.464804421518295
293,-171.54296968612869,145.26086592587578,53.98494489063502,30.88940524192946
294,-167.70725297993485,141.44609003755966,35.325352963463246,14.0415630114706
295,-172.85889009798316,141.96331718673324,62.144851286345606,-14.642725211359974
296,-171.68224469868952,149.62980618586118,65.69604379290811,-13.45564859552833
297,-168.189260948728,149.21300523089346,33.01569311156549,-7.646523728353857
298,-168.56942547584586,149.30802130811475,35.75494503004082,10.650984347949361
299,-169.83500441845945,138.525983718106,43.24740017404582,-47.73086987888953
300,-170.35782489759936,146.9089549474996,63.6954328911742,23.638472354536443
301,-167.21476191370226,155.83991948038127,68.5197679174924,-0.18426537391408065
302,-167.69483989862798,130.7262838365638,59.220000138777436,35.34787054396091
303,-172.6804514554116,148.00591560585156,41.12221451707347,8.690702149663837
